id,protein,gene_symbols
308,A0A024R7J7;Q9BW61,DDA1
309,A8K5G0;A0A024R7K0;M0R2Z9;Q8IX01;M0R3F6,SFRS14;SUGP2
310,A0A024R7K7;A0A024R7M6;Q86YP4;B4DKZ7,GATAD2A
311,K7EJL1;B4DDG7;B3KNH5;A0A024R7K8;Q9BXS5;Q59EK3;E7ENJ6;B4DN99,AP1M1
312,M0R0I0;A0A024R7L2;Q9NWV8;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R2I2;J3KQS6;M0QXG9,BABAM1;HSPC142
313,A0A024R7L5;A0A024R7L8;Q92900,UPF1
314,A8K0C2;A0A024R7L6;Q96EY5;E9PQA6,LOC93343;MVB12A
315,B2R8A2;A0A024R7M0;Q9BVK6,TMED9
316,Q96CT7;A0A024R7M8;M0R2F5,CCDC124;LOC115098
317,A0A024R7P3;A0A024R7N2;Q9HD20,ATP13A1
318,B2R8G6;A0A024R7P2;B7Z6M0;Q14318;U3KQ64,FKBP8
319,A0A024R7R0;Q96RL1;A0A024R7S2,RAP80;UIMC1
320,A0A024R7S3;P09497,CLTB
321,A0A024R7T3;P52597;B4DKS8,HNRPF;HNRNPF
322,A0A024R7T4;P17026,ZNF22
323,B3KMX0;A0A024R7U6;P33991;A0A3B3IT92;A0A3B3IU45;B4DLA6;A0A3B3IS57;E5RG31;A0A3B3ITP6,MCM4
324,A0A024R7V6;P61019;A0A0A1HAW1;A0A3B3ITL1;Q5HYI5;Q8WUD1;E9PKL7,RAB2;RAB2A;DKFZp313C1541;RAB2B
325,Q8NA80;A0A024R7W5;A0A087X0Q1;B4DPX9;A0A087WY31;Q7Z739;Q658Z6;Q8N3V9;Q96MZ5,YTHDF3;DKFZp451J085;DKFZp451A052
326,A0A024R7W9;Q92905;Q59GH5,COPS5
327,E5RHG8;A0A024R7Y5;Q15369;R4GMY8,TCEB1
328,A0A024R7Z5;O00560;B4DQ93,SDCBP
329,B4DV79;A4D210;A0A024R821;P55884;B4DXN6;Q96G38;Q86UM1;C9JZG1,EIF3B;EIF3S9
330,A0A024R829;Q9NRF9,POLE3
331,Q13049;A0A024R843,TRIM32
332,P61106;A0A024R845;X6RFL8,RAB14
333,A0A024R857;B4DH63;Q96ME1;B3KTC9;H0Y6I6,FBXL18
334,A0A024R861;O00743;B7Z3E2,PPP6C
335,B4DYI0;A0A024R869;Q92805;Q59HA1,GOLGA1
336,A0A024R872;Q96TA1,C9orf88;FAM129B
337,B5BU53;B2R9L6;A0A024R880;P50750,CDK9
338,B4E2V5;B4DZK8;A0A024R882;P27105,STOM
339,H0Y5D5;A0A024R885;B7Z3U7;F5H2X7;Q9ULV3;Q9BTG3;Q5SYW2;B4E0A3;Q96KB7;A0A494C0L7,CIZ1
340,A8K1C7;A0A024R892;Q8IWT6;Q96SW8,LRRC8A
341,A0A0C4DFV9;B2RCX0;A0A024R895;Q5VXV3;Q01105;A0A087X027,SET;SETSIP
342,A0A024R896;B7ZC38;Q9NR46;F8WFB9;B7ZC39,SH3GLB2
343,Q96I24;A0A024R8A7,FUBP3;hCG_31253
344,P35658;A0A024R8B6;A0A494C1F2;A0A0A0MSW3;Q7Z3C4,NUP214;DKFZp686J0330
345,B4DPP5;A0A024R8B7;A0A494C0K7;Q6P2C8;A0A494C0P0;U4Q365,CRSP8;MED27
346,B4DZG2;A0A024R8C1;Q15361;A0A087WY09,TTF1
347,A0A024R8D7;P31025,LCN1
348,A0A024R8E4;Q9BV86,C9orf32;NTMT1
349,B2ZZ86;A0A024R8E5;P20908;Q96HC0;Q59EE7,COL5A1
350,A0A024R8H6;Q15059;B4DS09;A0A140F1N4,BRD3
351,A0A024R8I0;Q96BF6,BTBD14A;NACC2
352,J3QQS1;A0A024R8L0;J3QLS3;Q9Y2R9;J3KSI8;J3QKW2,MRPS7
353,A5YM55;A0A024R8M9;B7Z8Y7;O94762;Q9BW80;Q8WYH5,RECQL5;PP1045
354,B5BUF9;B5BU32;A0A384MDV9;A0A024R8N6;P04183;K7ERV3;K7ES52;K7ERJ1,TK1
355,A0A024R8P8;P63173;J3KT73;J3QL01,RPL38
356,A0A024R8R0;J3QQJ0;Q9UHR5,SAP30BP
357,A0A024R8R4;Q8TAT6;B4DG89,NPLOC4
358,A0A024R8S3;P61956;Q6EEV6,SUMO2;SUMO4
359,P07237;A0A024R8S5;B4DNL5;H7BZ94;B4DUA5;B4DLN6,P4HB
360,Q53G91;A0A024R8U1;O15427;J3QQS9;J3QQV2;J3QSC3,SLC16A3
361,J3KP15;Q53FN0;A0A024R8U5;Q01130;J3QL05;Q8NAK9;B3KUY1;B3KX15;Q6NXQ0;Q8N220;B3KVY2;B3KUF7,SRSF2;SFRS2
362,P32322;A0A024R8U9;A0A1B2JLU7;E7D7X9;E7D7Y0;J3QL24;E2QRB3;J3KQ22;J3QKT4;B7Z8T1;J3QL32;Q2TU78;J3QL23;Q8TBX0;J3QLK9;J3QR88,PYCR1;PIG45
363,A0A024R8V6;Q9P275;A0A075B784;Q9H9C5;E9PEW0,USP36;DUB1
364,P38919;A0A024R8W0;I3L3H2,EIF4A3;DDX48
365,B4E0G1;A0A024R8X3;H7BYT1;P48730;B4DIJ9;Q59FJ7;H0Y645;B0QY35;B0QY34;J3QQI9;B0QY36;H0Y2N6,CSNK1D;CSNK1E
366,Q53GB9;A0A024R8Z1;Q5VV89;O14880,MGST3
367,Q6NVY0;A0A024R904;Q9HB71;B4DFD3,CACYBP
368,Q6MZT2;A0A024R906;Q16832,DKFZp686D1354;DDR2
369,A0A2R8Y653;A0A024R912;Q9BZX2;B4DGD3,UCK2
370,A0A024R932;Q8N0S6,C1orf155;CENPL
371,A0A024R952;Q13835,PKP1
372,A0A024R964;Q8TDX7;B2R8K8,NEK7
373,P23634;A0A024R968;Q68DH9;A7E2D8;A8K8U3;P20020;A0A024RBC7;Q16720;Q59H63;A1L3B5;E7ERY9,ATP2B4;DKFZp686M088;ATP2B1;ATP2B3
374,A0A024R972;P11047,LAMC1
375,A0A024R983;P10155,TROVE2
376,A0A024R994;O75131;Q05DL8;A0A087WYQ3;H0YB26,CPNE3
377,A0A024R9A4;O15523;B4E010;B4E132,DDX3Y
378,A0A024R9A9;Q9NPD8,UBE2T
379,A0A024R9B5;B4DMM7;Q15291;B4DLF8,RBBP5
380,A0A087WTT1;P11940;A0A024R9C1;E7EQV3;B4DZW4;A0A024R9E2;E7ERJ7;B3KT93;B4DQX0;H0YAR2;Q9H361;Q3ZCS4;Q5VX58;Q2VIP3,PABPC1;PABPC3
381,A0A024R9D2;Q86UE4;E5RJU9,MTDH
382,E5RI99;A0A024R9D3;P62888;E5RJH3;A0A0C4DH44,RPL30
383,A0A024R9D7;Q16698,DECR1
384,A0A024R9D9;Q9NPA8;E5RHX8,ENY2
385,A0A024R9E6;Q6P1X5;B3KMD8,TAF2
386,A0A024R9G7;Q6PL18;A0A0B4J211,ATAD2
387,A0A024R9J0;O60216,RAD21
388,A0A024R9J6;Q96MF7;E5RFJ1;E5RIM1;A0A087WTZ8;E5RHW9,C8orf36;NSMCE2
389,A0A024R9J7;Q9BVC3,DCC1;DSCC1
390,A0A024R9K4;Q96QD9,FYTTD1
391,A8K6F0;A0A024R9L1;O60306;B0AZM4,AQR
392,O43482;A0A024R9N0,OIP5
393,A0A024R9N6;A8K9B9;Q9H223,EHD4
394,B3KUI4;A0A024R9P6;Q96TC7;H0YLG5;H0YMB1,FAM82C;RMDN3
395,A0A024R9R3;Q9P253,VPS18
396,A0A024R9R5;H3BSS6;Q9H2Y7;H3BNX5;B4DGC7,ZFP106;ZNF106
397,A0A024R9Y3;A0A024R9W5;Q7Z6Z7;A0A024R9U8;Q5H924,HUWE1
398,D6RAA6;A6QKW0;A0A024R9W7;P57088;H0Y8N0,TMEM33;SHINC3
399,A0A1W2PPV8;A0A1W2PRB5;A0A0J9YVS1;A0A0G2JQF5;A0A3B3IT55;A0A0G2JNB1;A0A0G2JQF4;A0A0G2JNT7;A0A024R9Y2;Q7Z3B3;A0A1W2PRR3;I3L233,KIAA1267;KANSL1
400,Q05DU1;A0A024R9Y6;Q9NVN8,GNL3L
401,A0A024R9Y7;Q9UNF1;B4DX55;Q5H909;Q5H907;B4DWM5,MAGED2
402,B7Z4K8;E7ETZ4;B3KM68;A0A024RA42;Q9Y6E2;B5MCH7;B5MCE7;Q75MG1;E9PFD4,BZW2
403,A0A024RA49;Q9NQW6;A8K5D9,ANLN
404,A8K8X5;A0A024RA51;Q96GN5,CDCA7L
405,Q53GF5;A0A024RA52;P25787;C9JCK5,PSMA2
406,A0A2R8Y4Z0;A0A024RA85;Q14004,CDC2L5;CDK13
407,A0A024RAB6;P98160;Q59EG0,HSPG2
408,A0A024RAC0;Q86V48,LUZP1
409,Q9P258;A0A024RAC5;A5PLK7,RCC2
410,A0A024RAC6;Q14241,TCEB3
411,A0A0C4DGS1;A0A024RAD5;P39656;U3KQ84,DDOST
412,Q9UKD2;A0A024RAE1,MRTO4;C1orf33
413,A0A024RAE4;B4E1U9;P60953;B7ZAY4;B4DMH5;A0A024RAE6;A0A024R9T1,CDC42;hCG_39634
414,A0A024RAG1;Q6DCA0;B3KMF2;B2RBC1;A0A0S2Z4X0;Q9Y4X0,MGC4268;AMMECR1L;AMMECR1
415,A0A024RAH8;Q9NVP1;Q4ZG72;Q8N254,DDX18
416,P61158;A0A024RAI1;Q59FV6;B4DXW1;B4DTI0;B4DT29,ACTR3
417,G5EA06;B4DT94;A0A024RAJ1;Q92552;B4DKI9;Q6PKB3;D6RH20;Q8N6F2,MRPS27
418,A0A024RAL0;A0A024RAQ8;Q13426;A0A024RAP0,XRCC4
419,A0A024RAM0;Q92973,TNPO1
420,A0A024RAM4;P46821;A2BDK6;Q5H9P1,MAP1B;DKFZp686F1345
421,Q59G18;A0A024RAP4;Q9UBT6,POLK
422,Q53GJ1;A0A024RAS3;Q9H0S4;Q9H4E3,hCG_27698;DDX47;E4-DBP
423,A0A024RAV2;P46063,RECQL
424,B4DMD3;B4DY34;A0A024RAW9;Q9Y2W2,WBP11
425,Q6LET6;A0A024RAX2;P10620;F5H7F6;F5H6X2,MGST1
426,Q6VMQ6;A0A024RAY1;B3KQF8;B3KNI7,ATF7IP
427,B2RA03;A0A024RAY2;P05783;I6L965;F8VZY9,KRT18
428,P09651;A0A024RAZ7;A0A024RB53;F8W6I7;Q6IPF2;Q0VAC0;A0A024RC46;Q9BSM5;B4E0B5;F8VZ49;Q32P51;A0A024QZ98;B4DP35,HNRNPA1;HNRPA1;hCG_2020860;HNRNPA1L2;RP11-78J21.1
429,B2R627;A8K6A5;A0A024RB01;P08648,ITGA5
430,F5GZP6;B4DFU8;A0A024RB02;Q86W92,PPFIBP1
431,A0A024RB09;P61020;Q6FI54;F8VUA5,RAB5B
432,A0A024RB17;A0A024RB16;Q9BSJ8;B3KMV5;B3KY56,FAM62A;ESYT1
433,Q59G16;A0A024RB22;F8VXC8;Q8TAQ2;B4DF22,SMARCC2
434,A0A024RB32;Q15185;B4DDC6;A0A087WYT3;B3KUY2,PTGES3
435,F8VZJ2;F8W0W4;H0YHX9;A0A024RB41;Q13765;E9PAV3;F8W1N5;F8VNW4;B4DDI8,NACA;hCG_2016482
436,A0A024RB62;Q9UBP6;H0YIH0,METTL1
437,Q53FU3;A0A024RB72;F8VVA7;P61923;F8VXB1;F8W156;F8W651;F8VYZ4;F8VUC5;F8VXR1,COPZ1
438,O75390;A0A024RB75;B4DJV2;B3KTN4;A0A0C4DGI3;H0YIC4;Q0QEL2,CS
439,A0A024RB77;G3V5T9;P24941;A0A024RB10;E7ESI2;B4DDL9,CDK2
440,A8K6Y1;Q6PIN5;A0A024RB85;Q9UQ80;Q05D08;F8VR77,PA2G4
441,P61224;P62834;A0A024RB87;A8KAH9;Q5U0C3;A6NIZ1;B7ZAY2;B7ZB78;F5H7Y6;E7ESV4;F5GX62;F5GZG1;F5H823,RAP1B;RAP1A
442,P34897;B4DJ63;V9HW06;Q53ET4;A0A024RB99;Q5HYG8;Q5BJF5;B4E1G2;B4DP88;B4DWA7;B4DLV4;B4DW25;H0YIZ0;B4DJQ3;G3V2Y4,SHMT2;HEL-S-51e;DKFZp686P09201
443,Q9UL25;A0A024RBA9;Q96GX3,RAB21
444,A0A024RBB5;F8VW96;Q16527;F8VQR7,CSRP2
445,F8VYH9;F8VTV8;F8VWX7;A0A024RBB6;P11802;F8W1L8;F8VXD2;F8VZZ0;F8VZ51;Q6LC83,CDK4
446,P55209;F8W020;H0YIV4;B7Z2V4;F5H4R6;F8W0J6;F8VY35;A0A024RBB7;F8W118;F8VXI6;F8VUX1;F8VV59;B7Z9C2;A0A024RBE6;H0YHC3;B7Z5H0;H0YH88;F8VVB5;F8VRJ2,NAP1L1
447,A0A024RBB8;Q5HYM3;Q9BZF1;F8VUA7;F8VQX7;Q641R2;Q96E43,OSBPL8;DKFZp686C0249
448,A0A024RBB9;Q9Y2U8,LEMD3
449,A8K1Z3;A0A024RBE5;Q8NHV4,NEDD1
450,A0A024RBE7;P42167;G5E972;A0A024RBH7;Q59G12,TMPO
451,Q8NCF7;B2RE88;A0A024RBE8;A0A024RBH9;Q00325;F8VVM2;Q53HC3,SLC25A3
452,A0A024RBH2;Q07065;B3KVX6;Q8TB01;Q6NWZ1,CKAP4
453,B4DNL1;Q9BV37;Q53FW9;A0A024RBH5;Q13610;B4DJV5,PWP1
454,Q53G58;A0A024RBI5;Q59EA2;Q9ULV4;B3KN06;B4DMH3;B4E3S0;B7Z9V0,CORO1C
455,F5H0U5;A0A024RBI7;Q9NZD2,GLTP
456,B3KMP2;Q4KMX6;A5D8X2;A0A024RBJ3;Q9UJX3;Q2M2R1;A8KAQ7,ANAPC7
457,Q8TBK5;Q8N5Z7;B2R4K7;A0A024RBK3;Q9HBB3;Q02878;B4DRX3,RPL6
458,Q16881;E9PIR7;A0A087WSY9;A0A140VKC9;A0A024RBK9;A0A182DWI3;A0A087WSW9;B7Z2S5;F8W809;B2R5P6;Q6ZR44;E2QRB9,TXNRD1
459,A0A024RBQ4;A0A024RBL6;O15119,TBX3
460,Q9UPN1;F8VYE8;A0A024RBP2;P36873;F8VR82;F8W0W8;A0A087WYY5,PPP1CC
461,A0A024RBR1;P30622;F5H0N7;Q59GJ4;A0A3B3ITA2,RSN;CLIP1
462,F8VVL1;A0A024RBR3;O43583,DENR
463,F5H5U2;A0A024RBS0;Q8NHQ9;A0A384N652;B4DVE4;Q8TEC9,DDX55
464,P05388;A8K4Z4;A0A024RBS2;Q53HK9;Q53HW2;F8VWS0;Q6NSF2;F8VU65;F8VW21;G3V210;B4E3D5;F8VPE8;F8VZS0;F8VRK7;F8VQY6;Q8NHW5;F8VS58,RPLP0;RPLP0P6
465,C9JE98;A0A024RBU9;C9J0Q5;C9JFD3;A0A024RBS3;Q9Y618;C9J7T7;A0A384DVL6;A0A481PGK9,NCOR2
466,A0A024RBS6;F5H1S9;G8JLB3;E5KMT6;E5KMT5;Q9Y606;F5GXL3;F5H168;F5GY32;F8W9U5;F5H1B2,PUS1
467,O96006;A0A024RBU4,ZBED1;hCG_1981838
468,Q59F53;A0A024RBV9;O60907,TBL1X
469,C9J5X9;A0A024RBW1;Q8NB91,FANCB
470,Q53GE3;A0A024RBX9;P08559;A5YPB6;A5PHJ9,PDHA1;PDHA1/LOC79064
471,A0A024RC24;A0A3B3ITH3;Q9P2X3;J3KT25;J3QRS6,IMPACT
472,A0A024RC29;A8K6T3;Q14574,DSC3
473,A0A024RC34;I6L8A6;Q99708;F6Q6H0,RBBP8
474,A0A024RC37;Q96P16;A0A0C4DGQ6,P15RS;RPRD1A
475,F5GWN1;J3KRP6;A4PIV9;A4PIV8;A4PIW0;A0A024RC40;A8K0E5;Q4VAX2;Q15532;Q4VAX0;J3QQW2;J3KT74;J3QQM2;X6R3J2;J3QS72;A4PIV7;Q8TDQ9;Q6FGL9,SS18;SYT-SSX2;SYT-SSX1;SYT
476,P17028;A0A024RC47,ZNF24
477,A0A024RC49;O75928;Q2TA77;A0A087WUY7,PIAS2
478,A0A024RC65;P46940;A4QPB0;A0A0J9YXZ5;H0YLE8;B4E2M0;Q6P1N4,hCG_1991735;IQGAP1
479,A0A024RC67;O43663,PRC1
480,A0A024RC75;O14647;A0A1B0GTU9;A8K9Y5,CHD2
481,E9PJ24;B7ZM65;F8WEF5;B7ZM66;A0A0J9YYB5;A0A0J9YWD5;A0A024RCA1;Q9P1Y6;A0A0J9YX88,PHRF1;KIAA1542
482,P05387;A0A024RCA7,RPLP2
483,K4DIA7;E9PMR4;A0A024RCB3;P48509;E9PRJ3;Q53FU5,CD151
484,A0A024RCC9;B7ZAK9;B7ZB83;B7ZAC7;B4DS05;Q99733;A8MXH2;E9PKT8;C9J6D1;C9JZI7;A0A2U9QGI0;E9PNW0;E9PJJ2;E9PS34;E9PNJ7,NAP1L4
485,A0A024RCF9;A8K5B0;Q9UH62,ARMCX3
486,A8K067;A0A024RCG3;P49589;B4DI19;Q53HG6;A8MVQ3;B4DKY1;B4DPV7,CARS
487,B4DZL4;A0A024RCG4;Q92674,FSHPRH1;CENPI
488,A8K5M7;A0A024RCG7;Q7L311,ARMCX2
489,A0A024RCJ2;P06899;Q16778;P33778,HIST1H2BJ;HIST2H2BE;HIST1H2BB
490,A0A1U9X8D3;A0A1U9X8C7;A0A1U9X8C1;A0A0G2JHC2;A0A024RCJ8;Q6NYC8;A0A1U9X8D1,hCG_1821276;PPP1R18
491,A0A024RCL8;O60814;B2R4S9;P62807;A0A024RCJ9;A0A024QZZ7;U3KQK0;P57053;Q99877;P58876;A8K9J7;I6L9F7;Q99879;Q0D2M2,HIST1H2BK;HIST1H2BI;HIST1H2BC;HIST1H2BN;HIST1H2BD;H2BFS;HIST1H2BM
492,Q13838;A0A024RCM3;Q5STU3;A0A0G2JJZ9;B4DP52;F6WLT2;A0A140T9X3;F6TRA5;A0A0A0MT12;F6S4E6,DDX39B;hCG_2005638
493,A0A1U9X9D5;A0A1U9X9C8;A0A1U9X9C7;A0A1U9X9C4;A0A1U9X9C1;A0A1U9X9A1;A0A024RCN6;P26640;A0A1U9X9A3;A0A140T936;B4DT32,VARS
494,Q0EFC6;B4DYK6;A0A1U9X7R2;A0A024RCR2;P36915;B4DWZ0;B7ZAS6;B4DNS8;Q6P458;A8MPZ0;A2AB27;Q86Z07;A0A140T8Y2;Q96QB8,HSR1;GNL1
495,Q7KZE5;A0A024RCR3;P40425;A0A1U9X8A2;A0A1U9X8A1;Q6NW39,hCG_2039588;PBX2
496,P25440;A0A0G2JK44;A0A140T9E9;H0Y6K2;A0A024RCR5;X5CF57;A0A1U9X7B8;A0A1U9X7B4;A0A1U9X7A8;A0A1U9X7B3;A0A140T9V2;A0A140T9F7;A0A0G2JHL0;A0A140T9I1;A0A0G2JHN8;U3KQA6,BRD2
497,P46379;A0A0G2JK23;A0A024RCR6;A0A1U9X7A6;A0A1U9X7A9;A0A0G2JL47,BAG6;BAT3
498,B2R7M0;A8K822;A0A1U9X7L0;A0A024RCS3;B4E1C1;Q9UER7;Q53F85,DAXX
499,A0A024RCS7;Q9BW19;A0A1U9X7Y0;A0A1U9X7X5;B4DMA8;B4E063,KIFC1
500,A0A024RCU9;A8K8B2;H3BLV9;Q96SB4,SRPK1
501,A0A024RCZ1;Q8NC56;A0A220T1R7,LEMD2
502,B4DSD7;E9PFR3;A8K6Y2;A0A024RD11;Q14738;Q59EF0;H0Y8C4,PPP2R5D
503,A0A024RD15;Q16539;B4E0K5;L7RSM2,MAPK14
504,A0A024RD28;Q7L2Z9,C6orf139;CENPQ
505,A0A024RD36;Q6DKI1;R4GMU7;B7Z4G0,RPL7L1
506,O75376;A0A024RD47;A0A088AWL3;Q7Z516;B4DZ48,NCOR1
507,B3KVC6;B7ZA36;B4DG64;B3KN75;A0A024RD62;Q9Y253,POLH
508,A0A024RD80;P08238;B4DMA2;B4DGL0,HSP90AB1
509,A0A024RD84;Q15035,TRAM2
510,A0A024RD93;P22234;E9PBS1;B4DGX3;D6RF62,PAICS
511,A0A024RDA1;A0A024RDA9;Q9NV70,EXOC1
512,B3KSS1;A0A024RDB0;A0AVT1,UBE1L2;UBA6
513,A8K6V7;A0A024RDB2;A0A024RDE5;Q9UN86,G3BP2
514,A0A024RDC4;Q9NQV8,PRDM8
515,O94979;A0A024RDD3;D6REX3;A0A1S5UZ19;A0A024RDH6;D6RHZ5;H7BXG7;H0YAB3,SEC31A;SEC31L1
516,A0A024RDD8;Q6MZP7;B4DFU0;Q7Z3G2,DKFZp686L1814;LIN54;DKFZp686L18142
517,A0A024RDE8;Q96HC4;H0Y8Y3;Q4W5K9,PDLIM5;LIM
518,A0A024RDF4;A0A024RDF3;Q14103;H0YA96;H0Y8G5;D6RAF8,HNRPD;HNRNPD
519,A0A087WUK2;A0A024RDF6;O14979;B4DTA2,HNRNPDL;HNRPDL
520,A0A024RDG1;O60763,VDP;USO1
521,P49207;A0A024RDH8,RPL34
522,A0A024RDJ3;Q9NY12,NOLA1;GAR1
523,A0A494C157;A0A494C1E9;A0A024RDJ4;P19838;D6RF93,NFKB1
524,Q13557;E9PF82;B7Z2B0;E9PBG7;A0A024RDK3;D6R938;Q4G1A8,CAMK2D
525,A0A087WXN4;A0A024RDK4;Q96CB8;E9PGI3,INTS12
526,Q59ET3;B2R9K8;A0A024RDL1;P40227;A1JUI8;B4DPJ8;B4DN39,CCT6A
527,A0A024RDQ0;A0A024RDS1;Q92598;B4DF68;A0A0A0MSM0;B4DY72;B4DZB4,HSPH1
528,A0A024RDQ8;P40938;Q5U0C2;Q53HK8;B4DKE6,RFC3
529,Q5T7C4;B7Z965;Q59GW1;A0A024RDR0;P09429;B3KQ05;A0A286R9D9;B2RPK0,HMGB1;HMGB1P1
530,A8K126;A0A024RDS3;Q9UBW7,ZNF198;ZMYM2
531,A0A024RDV5;A0A024RDT9;Q9Y2H6;G5E9X3,FNDC3A
532,A0A024RDU0;Q9UL03;G5E9X1;B3KQH5,INTS6
533,A0A024RDU9;P13984,GTF2F2
534,P06400;A0A024RDV3;A0A3B3IS71;B4DTN0;Q59HH0;B4DRB3,RB1
535,A0A024RDV7;O00505;Q53F09,KPNA3
536,A8K6Q9;A0A024RDV9;Q8N0X7;B4DXT5;B3KML8;B3KMI3,SPG20
537,B4E2D5;R4GND2;B3KNI1;A8K8L1;A0A024RDW2;Q0D2Q4;F6S7C4;Q8NEM7,SUPT20H;FAM48A
538,Q9NWB6;A0A024RDW4;B4E3J6,ARGLU1;FLJ10154
539,A0A140VJG7;A0A024RDW5;B4DG73;Q9Y2V7;H0YGX8,COG6
540,O00410;A0A024RDY0;H0Y8C6;B4E0R6;B3KWG6,IPO5;RANBP5
541,B3KRY3;A0A024RDY3;P11279,LAMP1
542,Q5JSB5;A0A024RDY4;Q14186;F5H452;Q5JSB6;B7Z569;A0A024RBZ0,TFDP1;hCG_1982709
543,A0A024RDY7;U4PSC4;Q9NPJ6;Q5T911,MED4
544,A0A024RDY9;B1ALK7;B7Z6G2;A0A2R8YG42;A0A2X0SF98;Q14155;E7EUY6;E9PDQ5;B7Z344;Q5W9H1,ARHGEF7;KIAA0142
545,Q5T8C6;A0A024RDZ2;Q13042;A0A3B3ISD2;B2RCW0,CDC16
546,A8K097;A0A024RE04;Q5JVF3;A0A024RDZ9,RP11-98F14.6;PCID2
547,B2RBW4;A0A024RE06;P49917;A8K8Q4;A0A0C4DGV9,LIG4
