Protein IDs	Majority protein IDs	Protein names	Gene names	Reporter intensity corrected 1 SB45-LI	Reporter intensity corrected 2 SB45-LI	Reporter intensity corrected 3 SB45-LI	Reporter intensity corrected 4 SB45-LI	Reporter intensity corrected 5 SB45-LI	Reporter intensity corrected 6 SB45-LI	Reporter intensity corrected 7 SB45-LI	Reporter intensity corrected 8 SB45-LI	Reporter intensity corrected 9 SB45-LI	Reporter intensity corrected 10 SB45-LI	Reporter intensity corrected 1 SB46-LI	Reporter intensity corrected 2 SB46-LI	Reporter intensity corrected 3 SB46-LI	Reporter intensity corrected 4 SB46-LI	Reporter intensity corrected 5 SB46-LI	Reporter intensity corrected 6 SB46-LI	Reporter intensity corrected 7 SB46-LI	Reporter intensity corrected 8 SB46-LI	Reporter intensity corrected 9 SB46-LI	Reporter intensity corrected 10 SB46-LI	Reporter intensity corrected 1 SB47-LI	Reporter intensity corrected 2 SB47-LI	Reporter intensity corrected 3 SB47-LI	Reporter intensity corrected 4 SB47-LI	Reporter intensity corrected 5 SB47-LI	Reporter intensity corrected 6 SB47-LI	Reporter intensity corrected 7 SB47-LI	Reporter intensity corrected 8 SB47-LI	Reporter intensity corrected 9 SB47-LI	Reporter intensity corrected 10 SB47-LI	Intensity SB45-LI	Intensity SB46-LI	Intensity SB47-LI
O75190;A0A0J9YX62;B4DNN5;B4DVN1;C9J2C4;A7UJ17;B4DNF1;E9PH18;C9J2P2;F8WCZ4;C9JDX6;B4DMJ9;C9JDR7;C9JB42;Q49A72;A0A140VJI2;Q8NHS0;Q8WWF6;C9JN01;Q75MP3	O75190;A0A0J9YX62;B4DNN5;B4DVN1;C9J2C4;A7UJ17;B4DNF1;E9PH18;C9J2P2	DnaJ homolog subfamily B member 6	DNAJB6	410000	372030	238620	333430	331170	237650	449660	464500	374610	317330	641320	515520	415080	441960	437170	290160	520760	425130	242960	558670	722280	484920	444260	579930	424750	597440	352550	749080	591700	633300	300050000	409090000	221610000
Q96KC8;Q96NY3;A4VCI1;Q5T1X2	Q96KC8;Q96NY3	DnaJ homolog subfamily C member 1	DNAJC1	339640	255840	159190	227220	196950	162740	286990	337640	286850	237910	569850	411580	400450	433820	353600	323160	423100	428170	304920	444320	443880	377790	352760	363470	359160	323220	270800	464690	340310	380630	130770000	223510000	158070000
Q8IXB1;B3KNK5;B4DP04;Q86XS7;E7EP04;A0A494C1G5;Q71S60;A0A087WXH7;Q8N4C5;H7C1G0	Q8IXB1;B3KNK5;B4DP04	DnaJ homolog subfamily C member 10	DNAJC10	544200	419310	228610	316130	298250	237270	411400	577570	465230	420440	1927600	1054100	991610	1124600	1228600	739480	1334700	1347400	736980	1258700	882250	682400	581320	684990	570470	502440	514900	889380	803930	745290	326340000	920180000	728400000
Q9NVH1;B4DPK2;B4DGD5;B1AK20;Q9UMU8;Q5TH61;B3KTC6	Q9NVH1;B4DPK2;B4DGD5	DnaJ homolog subfamily C member 11	DNAJC11	985800	661770	479330	571350	587510	438250	829930	975500	874200	776160	2610500	1697600	1411200	1747800	1940100	941520	1692000	1817200	1535000	1944800	2271500	1475400	1619600	1580100	1367900	1421100	1300300	1947600	1838100	2174600	644130000	1614100000	1203800000
O75165;B3KN02;A0A3B3IRM0;H0Y8Q2;Q0D2M7;Q8N7A5;H0YA63	O75165	DnaJ homolog subfamily C member 13	DNAJC13	2925500	2966900	1760900	2495600	2182600	1720100	3939100	3706100	2799900	2633400	8460100	6880800	5854000	6212700	6089400	4666600	6864800	7003000	4319500	7438500	6139100	5021200	5254200	5532900	4629000	4396300	4331800	5805800	4957100	5952500	1864400000	4140500000	3987500000
B3KVP2;A8K5A7;A0A024RB64;Q6Y2X3	B3KVP2;A8K5A7;A0A024RB64;Q6Y2X3	DnaJ homolog subfamily C member 14	hCG_2016179;DNAJC14	0	0	0	0	0	0	0	0	0	0	6069.3	4471.4	2240.1	0	3738.9	2203.7	4152.7	2336.6	0	2846.6	9194.4	3412.3	3132.1	7190.6	0	0	8032.9	9817.8	4374.7	7196.7	0	5028800	3571400
Q9Y5T4	Q9Y5T4	DnaJ homolog subfamily C member 15	DNAJC15	71754	35817	35534	41296	41955	16386	58376	61209	57238	57242	140490	160930	113320	129380	132230	107720	125120	138870	105780	141890	57250	45571	59796	41637	59988	55896	46652	41908	58657	71294	13742000	30413000	22498000
Q5TDH4;A8K8W4;Q9Y2G8;Q5TDG9;B3KN62;B3KMS3;H0YCM8	Q5TDH4;A8K8W4;Q9Y2G8;Q5TDG9;B3KN62	DnaJ homolog subfamily C member 16	DNAJC16	95561	96334	55934	81046	67851	45486	89226	99762	91040	65924	452070	327990	317720	287510	331650	159390	333460	356820	222410	325640	365560	308020	319110	338130	294320	318750	309430	384190	302830	396740	66013000	153820000	214040000
Q9NVM6;S4R343;H0YLQ7;H0YK99	Q9NVM6	DnaJ homolog subfamily C member 17	DNAJC17	259180	214140	139180	237590	183390	132580	244250	290040	217640	240270	630200	333260	376230	383040	439070	315310	437150	460810	328230	515400	357770	294270	312850	393420	288380	293090	247720	362840	278890	341780	80751000	206310000	166630000
Q99543;Q08AR5;H7C3L7;C9IZ83;Q6P5S9;F2Z3H0;F2Z3N9	Q99543;Q08AR5	"DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed"	DNAJC2	369700	358650	273980	275380	294570	232950	388990	401870	345010	302660	1031800	575450	682880	735350	653890	487890	704380	725020	527350	813100	522190	383690	477940	441270	387360	388280	319160	552660	408130	440270	254310000	383590000	199050000
Q5F1R6;A0A2R8Y534;A0A2R8Y4Q0;A0A2R8Y4N5	Q5F1R6;A0A2R8Y534	DnaJ homolog subfamily C member 21	DNAJC21	268010	196380	135040	196990	217730	145370	270760	318800	257170	199660	290300	194650	193640	203710	142750	129350	214970	166720	165800	186220	351810	337210	281030	367990	281330	230090	278610	331690	277250	364190	73020000	212900000	120980000
Q9H1X3;F2Z3D1;J3QR79;A0A024R161	Q9H1X3	DnaJ homolog subfamily C member 25	DNAJC25	230320	236290	143600	165980	164360	121270	259880	236000	253860	180210	199920	268500	168980	178250	245720	126290	176900	133520	85289	206670	251590	212460	207260	221450	206620	196410	173720	215130	222810	235180	728090000	129590000	1349400000
Q13217;A8KA82;X6R9L0	Q13217;A8KA82;X6R9L0	DnaJ homolog subfamily C member 3	DNAJC3	1647500	1000700	647230	726130	792760	654580	1056600	1172000	1372900	1222200	1663600	1083200	1194000	1250600	872330	703490	1208600	1205400	995380	1353700	1530300	1009400	1058700	1095600	1030600	938470	921550	1230700	949210	1083600	595890000	1263800000	974280000
B4E1U4;B3KSU4;Q96LL9	B4E1U4;B3KSU4;Q96LL9	DnaJ homolog subfamily C member 30	DNAJC30	25800	10252	5084.2	7090.7	10785	0	16542	25252	20317	4067.1	73675	42417	38300	54867	47047	27671	41335	47409	47968	46516	57287	40139	51417	40051	36839	22825	31568	60608	47579	51160	21763000	23415000	18044000
Q9H3Z4;Q8TET0;Q6AHX3	Q9H3Z4;Q8TET0	DnaJ homolog subfamily C member 5	DNAJC5;FLJ00095	117880	93721	46809	52827	44334	46629	81285	96060	76095	63036	347340	187880	216820	242490	216500	162460	249120	223880	57972	246360	275180	188920	174270	187150	195990	148010	132780	201790	177420	196450	49868000	59081000	69515000
Q99615;Q59EH7;A8K4T2;B7Z9W6;K7EIH8;K7ESP1;B4DKK3;K7EPP7;K7ELJ8;K7ER44;K7EJV7;K7EN19;K7EJL5;K7EJE9;K7EK03;K7EJ24;K7EQ73	Q99615;Q59EH7;A8K4T2;B7Z9W6;K7EIH8;K7ESP1;B4DKK3;K7EPP7	DnaJ homolog subfamily C member 7	DNAJC7	1508500	1655500	888570	1411000	1132400	837440	1885900	1655100	1409000	1527500	5104400	3534400	3699400	3822400	3746900	2702600	4197000	4429500	2605300	5020900	2633100	2358000	2546600	2873200	2649700	2352100	2123900	2645400	2496700	3134200	578960000	2052300000	1270100000
O75937;S4R3J5	O75937	DnaJ homolog subfamily C member 8	DNAJC8	2274900	1788500	1094200	1516600	1375200	861220	1848900	1895900	1566300	1946600	5137300	3090900	2897500	2864900	2875400	1864400	3494000	3281800	2254200	3660400	2336800	1663700	1920100	2179600	1560300	1591000	1523600	1971700	1782700	2159200	1274300000	2966300000	2145400000
Q8WXX5;A0A024QZN2;Q2VIL4	Q8WXX5;A0A024QZN2	DnaJ homolog subfamily C member 9	DNAJC9;hCG_2024613	1396100	1209000	844180	935330	863940	683690	1338500	1247900	1248200	1339000	3382500	2189200	2285800	2010100	1967600	1608900	1757400	2539400	2571300	2592500	2837500	2583900	2272400	2685500	1825600	2225700	2027700	2791900	2590500	2857800	1324100000	2513500000	1777100000
B4DJN1;Q53GP8;B3KP83;Q99704;Q2TA81;Q14CB2	B4DJN1;Q53GP8;B3KP83;Q99704;Q2TA81;Q14CB2	Docking protein 1	DOK1	84147	56452	55133	60036	56988	29361	66585	81659	69520	80385	86565	58154	61572	62909	42203	56795	66663	73798	76601	82664	126580	109720	112310	126590	95586	103940	76515	133060	109640	115190	17497000	10126000	25823000
H7C0X4;B4DS50;C9J7S5;Q92685	H7C0X4;B4DS50;C9J7S5;Q92685	"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase"	ALG3	67010	43279	23864	33749	37665	21330	66418	63322	62749	46757	56758	49922	71143	53569	56316	30112	66965	46265	22423	58134	92568	73056	77132	72471	35459	42766	69879	129760	81293	141620	58999000	26321000	109230000
A0A024R4V6;Q9BV10;H7C4I6;H7C5R7	A0A024R4V6;Q9BV10;H7C4I6;H7C5R7	"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase"	ALG12	11804	11947	0	4987.7	7055.2	0	5555.9	13931	5069.6	5426.3	21850	0	0	47836	14619	0	0	0	16270	14110	25068	20858	21811	10689	10031	8601.1	10683	14054	20497	23105	9664200	25143000	14433000
Q9UPQ8;A0A0S2Z597;B4DTE7	Q9UPQ8;A0A0S2Z597;B4DTE7	Dolichol kinase	DOLK	24791	20655	9501	12210	10475	17649	15550	26752	30092	23169	67231	40073	28319	24394	41945	25229	44817	40271	15286	38902	27302	15205	22465	8617.1	13265	18773	7892	24262	18824	13293	19021000	27058000	35236000
A0A0S2Z4Y5;Q5QPK2;O60762;H0Y368;Q5QPJ9;A0A0S2Z4U1	A0A0S2Z4Y5;Q5QPK2;O60762;H0Y368;Q5QPJ9	Dolichol-phosphate mannosyltransferase subunit 1	DPM1	475420	321470	184890	242750	213830	165560	376840	381640	353060	336190	686080	468190	402880	447480	433540	286640	478690	544430	419310	601000	613190	314510	275110	568410	428610	405700	316760	519440	605800	609480	332670000	433290000	674570000
Q86TM7;Q6P184;Q3SX58;A0A140VJI4;B4DEH1;Q9P2X0	Q86TM7;Q6P184;Q3SX58;A0A140VJI4;B4DEH1;Q9P2X0	Dolichol-phosphate mannosyltransferase subunit 3	DPM3	0	0	0	0	0	0	0	0	0	0	5906.9	17681	0	8481.6	7936	0	3529.3	7643.7	0	11178	0	0	0	5403.4	0	5694.8	0	16469	7903.3	0	0	14599000	9206500
A2A2G4;Q9Y672;A0A3B3IS62;A0A3B3ITD6;A0A3B3ITI5;S4R350;B4DHV8	A2A2G4;Q9Y672;A0A3B3IS62;A0A3B3ITD6;A0A3B3ITI5;S4R350	"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase"	ALG6	78548	63734	37377	46467	47507	32591	59765	88274	76991	61981	170400	98648	101490	119710	112750	75928	110730	127000	88911	142190	123030	87282	105390	80362	82652	72971	47419	109500	118890	95907	20081000	23732000	17913000
A0A0C4DGS1;A0A024RAD5;P39656;U3KQ84	A0A0C4DGS1;A0A024RAD5;P39656	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	DDOST	5266500	3390400	2011300	2056500	2300700	1728100	3578400	3894700	4424700	3595800	4879000	3118500	2814300	3349800	3316600	2113500	3291800	3677000	2870300	3434200	3091600	2302000	2219100	2366000	2520400	1460500	2157000	3395100	2230400	2120400	6239500000	11353000000	7172700000
P04843;Q6IBR0;Q53EP4;Q96HX3;B4DL99;B7Z4L4;B4DNJ5;F8WF32	P04843;Q6IBR0;Q53EP4;Q96HX3;B4DL99;B7Z4L4;B4DNJ5	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	16867000	11919000	8965800	8898400	9005500	6392200	13087000	13391000	15065000	12700000	43679000	25790000	23271000	32529000	24790000	17614000	26363000	29853000	21739000	31454000	25913000	18058000	17776000	16681000	16472000	14575000	15125000	22865000	19749000	19902000	12419000000	24549000000	19728000000
P04844;B2RE46;B4DJL0;Q5JYR4;F2Z3K5;H0Y5M1;Q5JYR3	P04844;B2RE46;B4DJL0	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	RPN2	15539000	9635800	6376600	6527800	6417800	6173700	9931600	11924000	13251000	10225000	19345000	10856000	10688000	13772000	11749000	7238300	12655000	12008000	7884800	12112000	18598000	12345000	14020000	13886000	13456000	11254000	8876900	16623000	15324000	14317000	12524000000	23249000000	15974000000
F5GXX5;P61803;Q53G02;F5H895;A0A0B4J239	F5GXX5;P61803;Q53G02;F5H895;A0A0B4J239	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	DAD1	167260	179230	50795	121640	101420	59822	160780	111690	131310	131360	292260	540620	263180	280660	385960	191020	270970	387100	239630	364480	263720	236790	205010	146930	216840	203560	181190	221110	143790	211250	445230000	514520000	429240000
A0A024R3J7;P46977;A0A0C4DH80;E9PN73;E9PI32;H0YET6	A0A024R3J7;P46977	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	hCG_2032701;STT3A	2892300	1744500	1156700	1320200	1463200	1073000	2104900	2404300	2230400	1691700	9499100	5683700	6203100	6539300	6103200	3795800	6056100	5920600	5525300	6210700	11004000	7729800	8213500	8030500	8091400	6578100	6293300	9563600	9406400	8724200	4376400000	7601000000	7844500000
Q8TCJ2	Q8TCJ2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	STT3B	3571500	2533800	1725000	1923700	2139800	1417100	2348100	3161300	2875200	2549700	2745200	1575000	1601600	1903900	1710200	1443500	1795400	2153200	2364900	1849500	4874900	3141200	3438500	3489300	2914900	2942400	2554000	3886400	3427300	3477500	1024100000	1602000000	1713800000
Q9Y673;Q9HC03;B4DR67	Q9Y673;Q9HC03;B4DR67	Dolichyl-phosphate beta-glucosyltransferase	ALG5	372250	255750	176040	193980	177260	144740	267870	316050	271180	270080	242160	206240	184780	203240	172260	97609	171800	188330	91339	179400	238110	179630	176100	201310	180490	158700	146590	230310	188410	219280	80745000	111920000	42838000
Q86YN1;A0A024R8B5;Q8IUV4	Q86YN1;A0A024R8B5;Q8IUV4	Dolichyldiphosphatase 1	DOLPP1	0	0	0	0	0	0	0	0	0	0	49768	35962	7583.4	48848	46669	7259	33126	50846	26598	44631	10848	4866.5	6414.5	3069.3	2659.8	0	0	10156	0	2422.6	0	30387000	6096600
A0A384NPT7;O43812;Q96PT4;Q96PT3	A0A384NPT7;O43812;Q96PT4;Q96PT3	Double homeobox protein 1;Putative double homeobox protein 3;Double homeobox protein 5	DUX1;DUX3;DUX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R395;P49959;F8W7U8;Q05D78;F5GXT0;Q9BS79;F5H742;A0A0S2Z438;F5H256	A0A024R395;P49959;F8W7U8;Q05D78	Double-strand break repair protein MRE11A	MRE11A	985840	791560	541570	723910	739530	538230	943160	1095500	751190	800210	2680600	2293300	1816700	1525300	1566900	1402100	2441500	1990300	1122000	2575600	1184000	1055400	1158100	1123400	789050	795320	1063000	1261800	1208600	1417600	877420000	1745300000	1677200000
A0A024R9J0;O60216;B3KUT8;E5RFZ5;E5RG18;E5RJW1;E5RJK5;E5RI01;E5RFV8;E5RIN7;F6KSS9;Q9H4I0;A0A140T8W2	A0A024R9J0;O60216	Double-strand-break repair protein rad21 homolog	RAD21	1396500	1248300	707860	1105100	1097400	709340	1386800	1636400	1331200	1242600	2916300	2320900	1726400	1618400	1962900	1375100	2177900	2307200	1318900	2282400	1114700	966690	980280	955970	710620	857500	901200	1299800	1153400	1296700	1056000000	1541500000	1004200000
A8K622;Q59F99;O95793;Q5JW30;A0A087X1A5;B3KRE0;Q6PJX3;Q5JW28;B4DPJ9;F6UDC6	A8K622;Q59F99;O95793;Q5JW30;A0A087X1A5;B3KRE0	Double-stranded RNA-binding protein Staufen homolog 1	STAU1	3538900	2613400	1858500	2162200	1997800	1668200	3353000	3170700	3235200	3046700	4576800	3395500	2924900	3263700	3234500	2064300	3543700	3666100	1987000	3779300	4410700	3484800	3507600	3991900	3216800	2973400	3014800	4351100	3439200	4014900	1115000000	2496100000	1791200000
Q9NUL3;Q2TBD5;E9PH62;E7EVJ4;E7EPX0;Q4LE57;F8VPI7;A0A0A0MTD1;A0A024R7X7;E7EVI1;B7Z1P6;A0A0A0MTC4;A8K276;E5RJN7;A0A0A0MTC6;G5EA18;E5RJ67;E5RFK1;E5RGT3;H0YBY0;E5RGQ5	Q9NUL3;Q2TBD5;E9PH62;E7EVJ4;E7EPX0;Q4LE57;F8VPI7;A0A0A0MTD1;A0A024R7X7;E7EVI1;B7Z1P6;A0A0A0MTC4;A8K276;E5RJN7;A0A0A0MTC6;G5EA18	Double-stranded RNA-binding protein Staufen homolog 2	STAU2;STAU2 variant protein	510080	376830	289460	375610	318740	207770	485830	549220	506680	393900	1315100	999280	917120	1192900	1021500	765450	1126400	1213000	1036000	1220500	753380	519190	696050	621510	520630	511710	569880	679130	596250	647640	268000000	433770000	296180000
Q59EC0;P55265;A0A3B3IRQ9;H0YCK3;A0A024DAK3;D3DV75;B7Z8Y3;A0A3B3ISX1;A0A3B3ITG9;A0A3B3ISU1	Q59EC0;P55265;A0A3B3IRQ9;H0YCK3;A0A024DAK3;D3DV75;B7Z8Y3	Double-stranded RNA-specific adenosine deaminase	ADAR	4220700	3530700	2354200	3524300	3313800	2379800	4543500	4809300	3235200	3459900	8392800	5730000	5028200	5225800	4710400	3910800	6086000	5776900	3981300	6872000	5148300	3443500	3876900	4460100	3251000	3461900	3395200	4692200	4592000	4784800	2458300000	3843200000	3228400000
O43263;P78563;Q86XN4	O43263;P78563	Double-stranded RNA-specific editase 1	hRED1;ADARB1	229930	206060	143830	149460	150480	137880	211170	241710	231810	189540	241770	186090	200120	172940	156890	125340	178320	139540	169650	209220	508970	285490	289610	332310	270840	249380	281150	322250	347940	397140	107660000	160000000	180520000
Q9NS39	Q9NS39	Double-stranded RNA-specific editase B2	ADARB2	38791	39287	15133	18682	24761	15629	35913	37239	45732	25224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13886000	0	0
O14972;B7Z606;A8MTY9;A8MY26;O60768	O14972;B7Z606;A8MTY9;A8MY26	Down syndrome critical region protein 3	DSCR3	473580	418840	246120	370710	363520	226840	544170	626500	542760	414710	471210	396200	278790	303640	376170	263550	338630	349190	273410	389280	565510	513190	442280	520630	490730	461910	427730	617880	605330	581730	227990000	195620000	343390000
E9PQX9;C9JCC6;Q14919;E9PNC7;E9PMW2	E9PQX9;C9JCC6;Q14919;E9PNC7	Dr1-associated corepressor	DRAP1	178590	167880	102250	124360	137700	74403	168030	198110	138930	157030	31089	28626	15601	18328	18176	20276	19779	20775	44010	14215	50102	36056	27877	39197	31395	30031	37543	41485	28961	40679	48240000	19556000	51068000
A0A2Z6ATB6;Q16643;B3KSQ7;B7Z2Z0;D6R9Q9;D6RFI1;D6RCR4	A0A2Z6ATB6;Q16643;B3KSQ7	Drebrin	DBN1	5982300	5780500	3770600	4734300	3840400	3817400	5650000	7316200	4995000	5112200	11071000	7291800	6528800	7271000	7686300	4400400	8081400	8323700	5153800	8732900	6398200	4939200	4980900	4986100	4701400	4714700	4516900	6147400	5617800	5763700	9305300000	20232000000	15880000000
Q9UJU6;Q59FH4;H0Y5J4;B4DDU5;B4DKZ4;F8WBG8;B4DNX5	Q9UJU6;Q59FH4;H0Y5J4;B4DDU5;B4DKZ4	Drebrin-like protein	DBNL	1215800	1067700	690670	866750	773580	532100	1136200	1350200	933650	912410	3391400	1697500	2051000	2543000	2159000	1798900	2646300	3014500	1920200	2973600	2786900	1985900	1993100	2421600	1719700	1699200	1812400	2868100	2171700	1855500	1144800000	2811500000	2017100000
A8K2B9;Q8N5C7;H0YML0;H0YL61;H0YK73;H0YMP4;A0A2R8YGL3;A0A2R8YFG2	A8K2B9;Q8N5C7;H0YML0;H0YL61	DTW domain-containing protein 1	DTWD1	1080300	849610	614890	617260	708740	414570	1116600	863460	1014500	1069900	54629	50759	48067	54549	58574	42464	61414	75849	26862	79770	1828600	1626300	1713800	1621200	2018200	1373500	1964900	1185200	1910600	2477700	32820000	32207000	42128000
A4QPA9;Q02750;B4DFY5;H3BRW9	A4QPA9;Q02750;B4DFY5	Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1	212360	196530	124660	158600	145230	104230	220870	239030	179020	154620	1084300	602380	677340	867590	589640	570230	876040	744390	383610	881850	359450	278300	290690	355870	283150	207490	283200	352960	245400	303420	191590000	352210000	124110000
P36507;G5E9C7;A0A1B0GUL7;Q7Z370;B3KS97;M0R1B6	P36507;G5E9C7;A0A1B0GUL7	Dual specificity mitogen-activated protein kinase kinase 2	MAP2K2	246610	204940	119010	181360	166850	105930	260450	231760	189870	187640	989930	667410	643130	698900	495140	391090	593840	784860	403550	652880	533070	352380	458200	437440	374360	317800	334400	473310	375180	427740	162300000	543950000	323610000
P46734;Q53EZ9;Q6FHG1;Q6FI23;C7DUW4;E9PRZ0;J3QR49;A8K3Y2;B5BU16;A0A024R8K3;P52564;K7ELM6;Q6MZH7;K7EIW3;D3DXI2;J3KRV4;A0A024QYT4	P46734;Q53EZ9;Q6FHG1;Q6FI23;C7DUW4;E9PRZ0	Dual specificity mitogen-activated protein kinase kinase 3	MAP2K3	427880	491990	254780	440290	373270	244690	552910	466590	438000	347290	1298100	998070	890480	1015900	934630	779750	1020000	980280	816550	990440	996130	734960	767490	802250	707970	689570	594530	853520	752380	673400	278710000	748790000	540660000
B4DH44;P45985;B7ZA62;B7Z9Y5;R4GN37;D3DTD6	B4DH44;P45985;B7ZA62;B7Z9Y5	Dual specificity mitogen-activated protein kinase kinase 4	MAP2K4	146750	141860	82459	120420	99347	76404	160850	145080	128110	140850	1035600	709840	751870	960030	669030	652260	929030	880930	538630	818770	505930	366760	396410	430510	343010	389370	296410	502510	375440	422840	67861000	304500000	152660000
O14733;B4DV95;D6W660	O14733;B4DV95;D6W660	Dual specificity mitogen-activated protein kinase kinase 7	MAP2K7	8616.9	5018.6	3777.4	8811.5	9141.9	4839.2	10767	8132.8	10007	9554	83008	67908	57462	77559	55390	44297	51625	73890	32367	58254	169540	114740	120760	147250	126580	83939	65759	161310	115090	88589	7254300	11746000	39769000
B7ZA12;P49759;B8ZZR0;A0A087WVK0;F8WBF5	B7ZA12;P49759;B8ZZR0;A0A087WVK0;F8WBF5	Dual specificity protein kinase CLK1	CLK1	46138	79566	41991	42929	35220	31069	51298	77391	55413	67858	119270	94353	71586	76002	47600	47221	61312	74660	72345	135000	54226	35530	57457	64845	34808	30144	25973	74851	74674	70110	28086000	31827000	29374000
Q9BRG8;B1AVT0;A8K7I0;P49760;B7Z8N6	Q9BRG8;B1AVT0;A8K7I0;P49760;B7Z8N6	Dual specificity protein kinase CLK2	CLK2	25975	18386	11634	17682	16739	17843	19960	30230	27362	21451	74167	49203	46914	42328	28159	33689	45574	53482	44321	62919	18420	10216	2022.8	10918	13372	6637.2	9025.5	15611	12939	12543	81357000	39018000	8676500
B3KUU7;A8K7G8;Q59FC5;B3KRI8;P49761;B3KVF3;B3KTV2;H3BQG1;H3BRE4;H3BUL5;H3BVF8;H3BNC8;H3BNQ5	B3KUU7;A8K7G8;Q59FC5;B3KRI8;P49761;B3KVF3;B3KTV2;H3BQG1	Dual specificity protein kinase CLK3	CLK3	82599	75294	50434	64060	56528	54538	70806	87132	60992	81892	228700	173450	144490	114580	126530	82695	164710	184930	118950	205880	96866	97024	73726	77745	102180	106880	76087	100880	96759	99139	33247000	97681000	61272000
P33981;D6RF82;D6REX1;D6RIC6;D6RFY1	P33981	Dual specificity protein kinase TTK	TTK	453310	443590	270670	403630	399420	249500	548020	515400	381350	414190	783570	590720	566540	623690	552670	442450	648320	660390	318300	655420	301120	254380	240020	307580	233700	208380	220390	345700	329360	296250	207120000	280050000	94855000
P28562;B4DRR4;B4DNT2;B4DU40;B4E2X6;B4DQ64	P28562;B4DRR4;B4DNT2;B4DU40	Dual specificity protein phosphatase 1;Dual specificity protein phosphatase	DUSP1	5367.4	45096	20253	27757	0	0	0	17411	7199.1	6768.4	85445	350770	342570	294110	40351	66646	28850	143630	75644	202320	93556	272970	236570	247490	61015	44227	44329	139700	100840	121430	19874000	64732000	95722000
B4DDQ0;Q6IAR2;Q9Y6W6	B4DDQ0;Q6IAR2;Q9Y6W6	Dual specificity protein phosphatase 10	DUSP10	0	0	0	0	0	0	0	0	0	0	65471	51814	46778	46365	46903	20034	30558	54380	32551	33850	30715	15094	20189	26986	21024	19833	15239	27221	22799	27668	0	13569000	10006000
Q9UNI6;V9GYV5;V9GY92	Q9UNI6	Dual specificity protein phosphatase 12	DUSP12	271630	209460	185890	222770	196600	125350	277590	267960	144380	266940	598700	483570	431780	546420	356840	283270	610080	706210	283900	577350	312730	217910	261840	294040	187010	253300	227010	274340	207650	252670	91849000	191760000	103100000
A0A140VJI5;Q9BVJ7	A0A140VJI5;Q9BVJ7	Dual specificity protein phosphatase 23	DUSP23	0	0	0	0	0	0	0	0	0	0	76917	68699	64723	65678	58623	43812	56270	64058	35744	78140	28435	15008	21341	22227	17143	16580	13452	19035	21312	27376	0	55339000	5289500
B5BUI8;P51452;K7ES89;K7ELG5	B5BUI8;P51452;K7ES89	Dual specificity protein phosphatase 3	DUSP3	243320	242410	118320	199920	170390	85886	244500	330080	152090	199300	1808800	1611900	1368900	1402600	1315000	1088300	1607800	1551500	1082900	1591500	962400	727050	856980	974240	688130	716850	770890	948220	646870	874650	233350000	718410000	618370000
A0A2R8Y6I6;Q13627;A0A2R8Y443;A0A2R8Y6L5;A0A2R8YDF3;B4DXU2;O94789;B4DX02;A0A024R0J6;A0A024R0M8;B3KQI0;A0A024R0I0;Q9Y463;E7EMI5;M0R131;M0R2X3;Q92630;A0A2R8YEY4	A0A2R8Y6I6;Q13627;A0A2R8Y443;A0A2R8Y6L5;A0A2R8YDF3	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	DYRK1A	25958	8252.8	10812	19726	23296	2911.3	44644	23177	10623	6844.2	279180	225630	240380	255970	175450	156040	244930	274330	167840	237140	238180	189270	215530	218900	153050	176380	156070	228920	258870	234680	21301000	88391000	105460000
Q9NXS9;Q7RTS9;A5XEI3;J3KSU8	Q9NXS9;Q7RTS9	Dymeclin	DYM	0	0	0	0	0	0	0	0	0	0	53712	45507	42515	41683	37431	22232	46403	41305	33430	42526	3170.8	7118.1	0	5750.2	2284.1	7285.5	5367.5	7106.6	3141.7	8241.3	0	23373000	6400100
